intent,input,response
outdoor_plants,plants for garden,Popular garden plants are roses, lavender, sunflowers, and tomatoes.

plant_care,how to take care of plants,To care for plants: water regularly, give enough sunlight, use good soil, and trim dead parts.
plant_care,plant care tips,Water regularly, provide sunlight, use good soil, and remove dead parts.

diy_decor,diy plant decoration ideas,DIY plant decoration uses pots, jars, or recycled items to create creative and beautiful plant displays.
diy_decor,decorate plants at home,You can decorate plants using recycled pots, hanging designs, and creative containers.

technology,technology used in kp plant shop,KP Plant Shop uses HTML, CSS, JavaScript for frontend and PHP with database for backend.
technology,what tech is used,The website is built using HTML, CSS, JavaScript, PHP, and development tools like VS Code.

challenges,project challenges,Challenges include plant care for beginners, displaying many products clearly, and handling secure payments.
challenges,solutions to challenges,Solutions include clear care instructions, product categories, and secure online payment systems.

conclusion,project conclusion,KP Plant Shop is a user-friendly e-commerce website that helps users browse, choose, and care for plants easily.
conclusion,about kp plant shop project,The project successfully simulates a full e-commerce experience for plant lovers.

farewell,bye,Goodbye 👋 Thank you for visiting KP Plant Shop!
farewell,goodbye,Goodbye 👋 Thank you for visiting KP Plant Shop!
gratitude,thank you,You’re welcome 😊 Feel free to ask if you have more questions!
gratitude,thanks,You’re welcome 😊 Feel free to ask if you have more questions!
